title,description,event_type,actor,recipient,actor_id,recipient_id,location,iso3,latitude,longitude,num_sources,date_publish,source_domain,url
"Mangione pleads not guilty to murder, terrorism charges",Luigi Mangione has pleaded not guilty to state murder charges that brand him a terrorist in New York.,THREATEN,Luigi Mangione,New York,Q131411648,Q22654,New York,,,,1,2024-12-23 14:48:16,['www.rte.ie'],['https://www.rte.ie/news/us/2024/1223/1487943-luigi-mangione-court/']
Syria: Germany cautions Turkey against wider Kurdish fight,"German Foreign Minister Annalena Baerbock said a Turkey-Kurdish conflict ""must not happen"" and that only the so-called ""Islamic State"" stood to gain.",CONCEDE,Turkey,,Q43,,Turkey,TUR,39.91987,32.85427,1,2024-12-23 14:20:51,['www.dw.com'],['https://www.dw.com/en/syria-germany-cautions-against-turkey-kurdish-conflict/a-71145760']
Germany debates migration and motives after deadly Christmas market attack,"As the nation mourns the victims of violence in Magdeburg, the far right is rallying against migration.",PROTEST,Magdeburg,,Q1733,,Magdeburg,DEU,52.12773,11.62916,1,2024-12-23 14:20:29,['www.aljazeera.com'],['https://www.aljazeera.com/news/2024/12/23/germany-debates-migration-and-motives-after-deadly-christmas-market-attack']
Daily Post Nigeria,"Zamfara State Governor, Dauda Lawal, has revealed that his administration will never consider negotiating with bandits. He stated that the Zamfara State",ACCUSE,Zamfara State,Zamfara,Q145793,,Zamfara,,,,1,2024-12-23 14:12:05,['dailypost.ng'],['https://dailypost.ng/2024/12/23/meet-our-demands-in-14-days-or-face-deadliest-hospital-shutdown-fct-doctors-warn-wike/']
Daily Post Nigeria,"Former Aviation Minister, Femi Fani-Kayode on Sunday said Nigeria does not need to collaborate with France and Lakurawa terrorist organization to",ACCUSE,Nigeria,France,Q1033,Q142,France,FRA,48.85341,2.3488,1,2024-12-23 14:12:05,['dailypost.ng'],['https://dailypost.ng/2024/12/23/meet-our-demands-in-14-days-or-face-deadliest-hospital-shutdown-fct-doctors-warn-wike/']
Daily Post Nigeria,"The Catholic Bishop of Sokoto Diocese, Matthew Kukah, has said Christians should not continue to blame Nigeria's problems on the Constitution, the",ACCUSE,Catholic,Christians,,Q106039,Christians,NGA,9.05785,7.49508,1,2024-12-23 14:12:05,['dailypost.ng'],['https://dailypost.ng/2024/12/23/meet-our-demands-in-14-days-or-face-deadliest-hospital-shutdown-fct-doctors-warn-wike/']
Daily Post Nigeria,"United States of America President-elect, Donald Trump, has warned of serious repercussions if Gaza militants fail to release hostages by the time he is",ACCUSE,United States of America,,Q30,,United States of America,PSE,31.50161,34.46672,1,2024-12-23 14:12:05,['dailypost.ng'],['https://dailypost.ng/2024/12/23/meet-our-demands-in-14-days-or-face-deadliest-hospital-shutdown-fct-doctors-warn-wike/']
Daily Post Nigeria,Security operatives attached to the Zamfara State Government House on Thursday stopped journalists from covering the 2025 budget presentation at the State,ACCUSE,State,,Q12251220,,State,,,,1,2024-12-23 14:12:05,['dailypost.ng'],['https://dailypost.ng/2024/12/23/meet-our-demands-in-14-days-or-face-deadliest-hospital-shutdown-fct-doctors-warn-wike/']
Chinese drones could be banned by U.S.,"Lawmakers in Washington are seeking to ban new sales of drones from two dominant Chinese manufacturers, arguing they could be used to spy on Americans and that the low-cost models are hurting the U.S. drone industry.",COERCE,U,Chinese,Q9747,,Chinese,,,,1,2024-12-23 13:59:14,['www.cp24.com'],['https://www.cp24.com/news/world/2024/12/23/congress-is-looking-to-ban-chinese-drones-that-are-widely-used-in-us-what-to-know-about-the-debate/']
"Russia considers launching direct flights with Malaysia, Brazil, Pakistan, says minister",,REJECT,Russia,,Q159,,Russia,RUS,55.75222,37.61556,1,2024-12-23 13:44:00,['www.thestar.com.my'],['https://www.thestar.com.my/news/nation/2024/12/23/russia-considers-launching-direct-flights-with-malaysia-brazil-pakistan-says-minister']
Suspected LockBit dev faces extradition to the US,,COERCE,LockBit,US,,Q30,US,,,,1,2024-12-23 13:31:10,['www.theregister.com'],['https://www.theregister.com/2024/12/23/lockbit_ransomware_dev_extradition/']
"Covid-19, influenza cases under control in Malaysia, says Health Ministry","PUTRAJAYA: The Covid-19 and influenza situation in Malaysia remains under control, with no increase in cases requiring intensive care unit (ICU) treatment and no fatalities reported.",MOBILIZE,Covid,I,,Q9893,Covid,MYS,3.1412,101.68653,1,2024-12-23 13:29:00,['www.thestar.com.my'],['https://www.thestar.com.my/news/nation/2024/12/23/covid-19-influenza-cases-under-control-in-malaysia-says-health-ministry']
"Bangladesh will no longer allow Myanmar Rohingya to enter its territory, says official","Bangladesh on Monday said it will not allow more Rohingya community members to enter its territory, clarifying that around 60,000 refugees had entered the South Asian nation in the past two years, Anadolu Agency (AA) reported.",SANCTION,South Asian,Myanmar,,Q836,Myanmar,MMR,19.745,96.12972,1,2024-12-23 13:26:00,['www.thestar.com.my'],['https://www.thestar.com.my/aseanplus/aseanplus-news/2024/12/23/bangladesh-will-no-longer-allow-myanmar-rohingya-to-enter-its-territory-says-official']
Switzerland adopts further EU sanctions against Russia,Switzerland has added several dozen names to its list of sanctioned persons or entities from Russia after adopting the amendments made by the European Union.,SANCTION,Switzerland,EU,Q39,,EU,RUS,55.75222,37.61556,1,2024-12-23 13:25:00,['www.swissinfo.ch'],['https://www.swissinfo.ch/eng/foreign-affairs/switzerland-adopts-further-eu-sanctions-against-russia/88632236']
Shots fired at a home in Laval,Laval police is investigating reports of gunfire at a home.,ACCUSE,Laval,,Q224412,,Laval,CAN,45.56995,-73.692,1,2024-12-23 13:21:00,['montreal.ctvnews.ca'],['https://montreal.ctvnews.ca/shots-fired-at-a-home-in-laval-1.7155652']
Sydney under total fire ban as bushfire danger levels hit extreme,"Windy conditions and temperatures ﻿up to 29 degrees have sparked total fire bans across greater Sydney, the...",COERCE,Sydney,,Q3130,,Sydney,AUS,-33.86785,151.20732,1,2024-12-23 13:15:55,['www.9news.com.au'],['https://www.9news.com.au/national/sydney-under-total-fire-ban-as-bushfire-danger-levels-hit-extreme/91d22617-4a3d-49ce-8e8b-7bbe27b82d33']
Callista Gingrich Gets Trump Nod for Ambassadorship,"Some big news for Callista Gingrich over the weekend: She's been selected by Donald Trump to serve as his ambassador to Switzerland, reports the AP . In a Sunday post on...",CONSULT,Callista Gingrich,Trump,Q2934240,Q408352,Trump,CHE,46.94809,7.44744,1,2024-12-23 13:12:40,['www.newser.com'],['https://www.newser.com/story/361441/callista-gingrich-gets-trump-nod-for-ambassadorship.html']
India-China frozen ties witness thaw in 2024,Analysts say lowering of tensions between India and China will not impact its growing ties with the US,AGREE,India,,Q668,,India,IND,28.63576,77.22445,1,2024-12-23 13:05:58,['www.voanews.com'],['https://www.voanews.com/a/india-china-frozen-ties-witness-thaw-in-2024-/7911037.html']
Bethlehem cancels Christmas celebrations,War means there will be little visitor presence in the birthplace of Jesus this Christmas,MOBILIZE,Jesus,,Q302,,Jesus,,,,1,2024-12-23 13:00:00,['www.irishtimes.com'],['https://www.irishtimes.com/world/middle-east/2024/12/23/bethlehem-cancels-christmas/']
"Snowstorm set to bring white Christmas, slippery roads to eastern Ontario",Environment Canada has issued snowfall warnings for the National Capital Region as heavy snowfall is expected Monday afternoon and into the night.,CONCEDE,Ontario,,Q1904,,National Capital Region,,,,1,2024-12-23 12:46:00,['www.cbc.ca'],['https://www.cbc.ca/news/canada/ottawa/ottawa-weather-snowfall-1.7417665']
Trump defies US laws with his immigration promises,"The tycoon faces ethical and legal barriers to achieving his anti-immigration goals, such as revoking birthright citizenship or raiding schools",SANCTION,US,,Q30,,US,,,,1,2024-12-23 12:45:19,['english.elpais.com'],['https://english.elpais.com/usa/2024-12-23/trump-defies-us-laws-with-his-immigration-promises.html']
"Over 1,000 North Korean soldiers killed or wounded in Ukraine war: Seoul",South Korea says Pyongyang is reportedly preparing for ‘additional deployment of soldiers’ to aid Russia’s war efforts.,ASSAULT,Moscow,Russia,Q649,Q159,North Korean,PRK,39.03385,30.5238,3,2024-12-23 12:40:25,"['www.aljazeera.com', 'www.dw.com', 'nationalpost.com']","['https://www.aljazeera.com/news/2024/12/23/over-1000-north-korean-soldiers-killed-and-wounded-in-ukraine-war-seoul', 'https://www.dw.com/en/over-1000-north-korean-casualties-in-ukraine-war-seoul-says/a-71142903', 'https://nationalpost.com/news/world/north-korea-casualties-ukraine']"
"Suspected arsonists set fire on palace, properties of Kogi self acclaimed monarch","Suspected arsonist have set ablaze the palace and properties of a self acclaimed monarch, HRH Emmanuel Akamisoko Dauda-Shelika, Nyamkpa IV, in Kogi State.",ASSAULT,Kogi,,Q395985,,HRH,,,,1,2024-12-23 12:29:30,['dailypost.ng'],['https://dailypost.ng/2024/12/23/suspected-arsonists-set-fire-on-palace-properties-of-kogi-self-acclaimed-monarch/']
Moscow denies Asma al Assad seeks divorce - as reports suggest she wants UK return,"Turkish and Arabic media reported Bashar al Assad's wife wants a divorce and to leave Moscow, where they have been granted asylum. There is also speculation she may want to return to the UK, where she was born.",REJECT,Moscow,Asma al Assad,Q649,,Asma al Assad,RUS,55.75222,37.61556,1,2024-12-23 12:17:00,['news.sky.com'],['https://news.sky.com/story/moscow-denies-asma-al-assad-seeks-divorce-as-reports-suggest-she-wants-uk-return-13279294']
"Delta Assembly accuses Police, DSS of frustrating enforcement of anti-open grazing law",The Delta State House of Assembly has accused security agencies of failing to enforce the state’s anti-open grazing law. Deputy Speaker and Chairman of,ACCUSE,Delta,,Q903600,,Police,POL,53.55214,14.57182,1,2024-12-23 12:10:16,['dailypost.ng'],['https://dailypost.ng/2024/12/23/delta-assembly-accuses-police-dss-of-frustrating-enforcement-of-anti-open-grazing-law/']
"South Korea says it detected signs of North Korea preparing more troops, drones for Russia","Seoul, Washington and Kyiv have said there are around 12,000 North Korean troops in Russia",MOBILIZE,North Korea,Russia,Q423,Q159,Russia,RUS,55.75222,37.61556,1,2024-12-23 12:05:41,['www.theglobeandmail.com'],['https://www.theglobeandmail.com/world/article-south-korea-says-it-detected-signs-of-north-korea-preparing-more/']
Guatemala police clash with Jewish sect over 160 at-risk children,Authorities in Guatemala resist efforts by a Jewish sect to recapture 160 children rescued from its premises.,MOBILIZE,Guatemala,Jewish,Q774,Q7325,Jewish,,,,1,2024-12-23 11:45:23,['www.aol.com'],['https://www.aol.com/news/guatemala-police-clash-jewish-sect-105700498.html']
Palestinian influencer adds ‘love and resistance’ to dishes for the displaced in Gaza,"From Gaza, Hamada Shaqoura uses social media to show the hunger Gazans endure and the difficulties they face due to the limited humanitarian aid allowed by Israel",PROTEST,Hamada Shaqoura,Gazans,,,Gaza,PSE,31.50161,34.46672,1,2024-12-23 11:40:54,['www.rappler.com'],['https://www.rappler.com/world/middle-east/profile-palestinian-influencer-hamada-shaqoura-love-resistance-dishes-feed-displaced-gaza/']
Netanyahu: 'Some progress' in negotiating release of hostages in Gaza,Lebanese prime minister visits south amid Israel-Hezbollah ceasefire,RETREAT,Gaza,,Q47492,,Israel,ISR,31.76904,35.21633,1,2024-12-23 11:25:42,['www.voanews.com'],['https://www.voanews.com/a/lebanese-prime-minister-visits-south-amid-israel-hezbollah-ceasefire-/7910956.html']
"Assad's wife 'did not ask for a divorce,' Russia asserts","Turkish media reports Moscow has frozen Assad's assets and restricted his movements, leading his wife to file an official divorce petition in a bid to leave for Britain; Kremlin strongly rejects the report: They 'do not correspond to reality'",REJECT,Kremlin,,Q133274,,Assad,RUS,55.75222,37.61556,1,2024-12-23 11:17:08,['www.ynetnews.com'],['https://www.ynetnews.com/article/bj4mm6lrke']
"Vietnam and Malaysia eye substantive cooperation in labour, conditions here are appreciated by Vietnamese workers","As of November 30, more than 17,000 Vietnamese workers had been working legally in Malaysia, according to the Vietnam News Agency (VNA), which cited the Malaysian Ministry of Human Resources.",COOPERATE,Vietnamese,,,,Malaysia,MYS,3.1412,101.68653,1,2024-12-23 11:01:00,['www.thestar.com.my'],['https://www.thestar.com.my/aseanplus/aseanplus-news/2024/12/23/vietnam-and-malaysia-eye-substantive-cooperation-in-labour-conditions-here-are-appreciated-by-vietnamese-workers']
Murder and kidnapping gone wrong in Myanmar - Authorities arrest doctor and clinic assistant for murdering colleague in Mandalay,"The doctor and his clinic assistant who were involved in the kidnapping and murder of a doctor in Mandalay have been arrested, according to sources.",SANCTION,Myanmar,,Q836,,Myanmar,MMR,19.745,96.12972,1,2024-12-23 10:56:00,['www.thestar.com.my'],['https://www.thestar.com.my/aseanplus/aseanplus-news/2024/12/23/murder-and-kidnapping-gone-wrong-in-myanmar---authorities-arrest-doctor-and-clinic-assistant-for-murdering-colleague-in-mandalay']
"Pro-Iranian militias in Iraq agree to stop attacking Israel, a senior official explai","Iraq's pro-Iranian militia Al-Nujaba Movement has reached an agreement with the Iraqi prime minister to halt military operations against Israel, according to a report in Lebanon; 'The resistance will stop operations in support of Gaza and will not interfere in political changes in Syria' a senior militia official explained.",CONCEDE,Gaza,,Q47492,,Gaza,PSE,31.50161,34.46672,1,2024-12-23 10:50:27,['www.ynetnews.com'],['https://www.ynetnews.com/article/rkpqw2lskl']
Trump to declare Mexican drug cartels ‘terrorist organizations’,"In a long speech to conservative followers, the president-elect touched on some of his favorite topics, including tariffs and immigration, and denied that Elon Musk is undermining his power",COERCE,Trump,Mexican,Q408352,,Mexican,,,,1,2024-12-23 10:37:44,['english.elpais.com'],['https://english.elpais.com/usa/2024-12-23/trump-to-declare-mexican-drug-cartels-terrorist-organizations.html']
Africa: Supporting peace after guns have fallen silent,"Traditional peacekeeping is not working in Africa: Resolving existing conflicts requires revised diagnoses that are not shaped by particular interests or ideology, experts say.",MOBILIZE,Africa,,Q15,,Africa,,,,1,2024-12-23 10:10:28,['www.dw.com'],['https://www.dw.com/en/africa-supporting-peace-after-guns-have-fallen-silent/a-71078870']
Trump threatens that U.S. could retake control of Panama Canal,Donald Trump's comments were an exceedingly rare example of a U.S. leader saying he could push a sovereign country to hand over territory.,CONCEDE,Donald Trump,Donald Trump,Q22686,Q22686,Donald Trump,,,,2,2024-12-23 10:06:04,"['www.japantimes.co.jp', 'www.irishtimes.com']","['https://www.japantimes.co.jp/news/2024/12/23/world/politics/trump-control-panama-canal/', 'https://www.irishtimes.com/world/us/2024/12/23/panamas-leader-rebuffs-donald-trumps-threat-to-reimpose-us-control-over-panama-canal/']"
How officials tried to contain fallout after a Halifax school bus went missing for 4½ hours,"Documents obtained by CBC News show that a French school board member had previously warned the bus service was 'already a big problem, that it wasn't going to improve, and in fact, it was going to get worse.'",RETREAT,Halifax,,Q218260,,Halifax,CAN,44.64269,-63.57688,1,2024-12-23 10:00:00,['www.cbc.ca'],['https://www.cbc.ca/news/canada/nova-scotia/how-officials-tried-to-contain-fallout-after-a-halifax-school-bus-went-missing-for-4-hours-1.7416819']
US Navy pilots shot down over Red Sea in apparent 'friendly fire' incident,"Two US Navy pilots were shot down on Sunday over the Red Sea in an apparent ""friendly fire"" incident, the U...",ASSAULT,U,U,Q9747,Q9747,U,,,,3,2024-12-23 09:44:53,"['www.9news.com.au', 'fredericksburg.com', 'apnews.com']","['https://www.9news.com.au/world/us-navy-pilots-shot-down-over-red-sea-in-apparent-friendly-fire-incident-us-military-says/dd02b401-1802-49d1-8ff1-7ea3b331c5f5', 'https://fredericksburg.com/news/nation-world/us-military-navy-pilots-friendly-fire-shot-down-over-red-sea/article_defa3075-024c-5481-84ab-381fd89bf61f.html', 'https://apnews.com/article/mideast-wars-yemen-us-navy-pilots-houthi-95a792daae3b0120186bfc6c66e1b6fe']"
Violent Venezuelan gang Tren de Aragua terrorizing Americans in at least 19 states,"Tren de Aragua has a presence in at least 19 states as of December, which is up from 16 in November, indicating the gang's expansion within the United States.",COERCE,Venezuelan,Americans,,Q463180,Americans,USA,54.9,-1.51667,1,2024-12-23 09:00:27,['news.yahoo.com'],['https://news.yahoo.com/news/violent-venezuelan-gang-tren-aragua-090027999.html']
South Korea’s Democratic Party sets Dec 24 deadline to approve special counsel Bills for Yoon,"Mr Yoon has yet to comply with the summons, citing the lack of an official defence team. Read more at straitstimes.com.",REJECT,South Korea,Yoon,Q884,,Yoon,,,,1,2024-12-23 06:37:00,['www.straitstimes.com'],['https://www.straitstimes.com/asia/east-asia/south-koreas-democratic-party-sets-dec-24-deadline-to-approve-special-counsel-bills-for-yoon']
"Bethlehem now ‘a Palestinian village subjected to intense intimidation, social starvation’, say church leaders",Church of Ireland Archbishop of Dublin Michael Jackson says reaction to immigration in Ireland has been ‘physical and shameful’,THREATEN,Ireland,,Q22890,,Ireland,IRL,53.33306,-6.24889,1,2024-12-23 06:00:00,['www.irishtimes.com'],['https://www.irishtimes.com/ireland/2024/12/23/bethlehem-now-a-palestinian-village-subjected-to-intense-intimidation-social-starvation-say-church-leaders/']
Perlis wants operations at border gates extended by two hours,"PADANG BESAR: The Perlis government wants Putrajaya to consider extending operations at the border gates at the Immigration, Customs, Quarantine and Security (ICQS) Complex in Padang Besar and Wang Kelian by two hours.",RETREAT,"Immigration , Customs , Quarantine and Security",,,,"Immigration , Customs , Quarantine and Security",MYS,2.93527,101.69112,1,2024-12-23 06:00:00,['www.thestar.com.my'],['https://www.thestar.com.my/news/nation/2024/12/23/perlis-wants-operations-at-border-gates-extended-by-two-hours']
Australian fighter pilot to be extradited over China training claim,Attorney-General Mark Dreyfus said he considered all evidence before him before deciding father of six Daniel Duggan should face court in the United States.,SANCTION,Australian,China,,Q148,China,CHN,39.9075,116.39723,1,2024-12-23 05:17:17,['www.afr.com'],['https://www.afr.com/politics/federal/australian-fighter-pilot-to-be-extradited-over-china-training-claim-20241223-p5l0f9']
"Car, TTC bus collided in city’s east end, 1 arrested for impaired driving","Impaired driving is believed to be a factor in an early morning collision between a car and a TTC bus in the city’s east end, say Toronto police.",RETREAT,Toronto,TTC,Q172,,TTC,,,,1,2024-12-23 04:30:21,['www.cp24.com'],['https://www.cp24.com/local/toronto/2024/12/22/impaired-driving-may-be-factor-in-collision-between-car-ttc-bus-in-citys-east-end-say-toronto-police/']
Police restrain over $2.5 million in assets after tobacco smuggling operation busted in Gisborne restaurant,"Police have restrained more than $2.5 million in assets, including four properties in Gisborne , after Customs intercepted undeclared tobacco at the border....",RETREAT,Gisborne,,,,Gisborne,NZL,-38.65333,178.00417,1,2024-12-23 02:46:54,['www.nzherald.co.nz'],['https://www.nzherald.co.nz/nz/police-restrain-over-25-million-in-assets-after-illicit-tobacco-smuggling-operation-busted-in-gisborne-restaurant/AGJMRUQ3ZVCJVKSXOOFQE3JNCU/']
Iran is hiring children to attack Israeli targets in Europe,Investigators say three attacks this year are part of a new trend in which Iran-affiliated actors recruit local criminals to strike at targets in Europe.,ASSAULT,Iran,Europe,Q794,Q458,Europe,IRN,35.69439,51.42151,2,2024-12-23 02:15:30,"['www.smh.com.au', 'www.ynetnews.com']","['https://www.smh.com.au/world/europe/iran-is-hiring-children-to-attack-israeli-targets-in-europe-20241222-p5l088.html', 'https://www.ynetnews.com/article/hyp9b8er1l']"
Concern over apparent capture of Australian fighter,The Department of Foreign Affairs and Trade is making urgent inquiries after video emerged appearing to show an Australian man captured by Russian forces in Ukraine.,ASSAULT,Russia,Australian,Q159,,Australian,UKR,50.45466,30.5238,3,2024-12-23 01:00:00,['www.abc.net.au'],"['https://www.abc.net.au/listen/programs/worldtoday/concern-over-apparent-capture-of-australian-fighter/104758092', 'https://www.abc.net.au/listen/programs/aca-on-demand/naus_aussieprisonertnod_2312/104757138', 'https://www.abc.net.au/listen/programs/radionational-breakfast/australian-man-captured-by-russians/104756792']"
"Trump picks billionaire Stephen Feinberg as deputy defense secretary, previously fired banker as Latin American envoy","Trump also named Katie Miller, an ex-staffer married to his homeland security adviser, to the Elon Musk-led DOGE panel",COOPERATE,Trump,Katie Miller,Q408352,Q78337779,Katie Miller,,,,1,2024-12-23 00:39:52,['www.theglobeandmail.com'],['https://www.theglobeandmail.com/world/us-politics/article-trump-picks-billionaire-stephen-feinberg-to-be-deputy-defense/']
Slovakia's PM Fico visits Moscow amid Ukraine gas dispute,"Prime Minister Robert Fico went to Moscow for a ""working meeting"" with President Vladimir Putin on Sunday, in which he said they discussed gas transit and the prospects of a ""peaceful end"" to war in Ukraine.",CONSULT,Robert Fico,Ukraine,Q57606,Q212,Vladimir Putin,UKR,50.45466,30.5238,1,2024-12-23 00:03:12,['www.dw.com'],['https://www.dw.com/en/slovakias-pm-fico-visits-moscow-amid-ukraine-gas-dispute/a-71138724']
Former Syrian regime forces disarm under interim government,"Some 1,500 daily register weapons, seek amnesty at Damascus centers, says official",MOBILIZE,Syrian,,,,Syrian,SYR,33.5102,36.29128,1,2024-12-23 00:00:00,['www.aa.com.tr'],['https://www.aa.com.tr/en/middle-east/former-syrian-regime-forces-disarm-under-interim-government/3432258']
OPINION - Will 2025 be a year of reform or chaos?,2025 will witness growing tensions between the unified governance of global security by continued US hegemony and a resurgent challenge mounted by the Global South in the ongoing Legitimacy War with the West,CONCEDE,US,,Q30,,US,,,,1,2024-12-23 00:00:00,['www.aa.com.tr'],['https://www.aa.com.tr/en/world/opinion-will-2025-be-a-year-of-reform-or-chaos/3432337']
New model for custody procedures,"The Royal Thai Police ( RTP ) has partnered with the United Kingdom to support a project aimed at improving custody procedures, safety standards, and living conditions for detainees at police stations .",CONSULT,The,United Kingdom,Q21121474,Q145,United Kingdom,GBR,42.98339,-81.23304,1,2024-12-23 00:00:00,['www.bangkokpost.com'],['https://www.bangkokpost.com/thailand/general/2925096/new-model-for-custody-procedures']
Govt steps up road safety blitz,"The government on Sunday kicked off a new road safety campaign aimed at improving the safety of New Year travel , as the Royal Thai Police ( RTP ) ramped up operations against drunk driving in particular.",COERCE,Royal Thai Police,,Q1831399,,New Year,,,,1,2024-12-23 00:00:00,['www.bangkokpost.com'],['https://www.bangkokpost.com/thailand/general/2924966/govt-steps-up-road-safety-blitz']
"Israel planned pager attacks in Lebanon, Syria decade ago, say former Mossad officers","Israel has 'created a pretend world' in which there is an 'incredible array of possibilities of creating foreign companies that have no way of being traced back to Israel,' ex-Mossad agent tells CBS NEWS",COERCE,Mossad,Israel,Q34216,Q801,Israel,ISR,31.76904,35.21633,1,2024-12-23 00:00:00,['www.aa.com.tr'],['https://www.aa.com.tr/en/middle-east/israel-planned-pager-attacks-in-lebanon-syria-decade-ago-says-former-mossad-officers/3432353']
"Warning system still robust, 20 years after tsunami","Phuket is gearing up for a major event this Thursday to commemorate the 20th anniversary of the devastating tsunami that claimed more than 5,000 lives and injured 8,000 others in Thailand.",CONCEDE,Thailand,,Q869,,Thailand,THA,13.75398,100.50144,1,2024-12-23 00:00:00,['www.bangkokpost.com'],['https://www.bangkokpost.com/thailand/special-reports/2925086/warning-system-still-robust-20-years-after-tsunami']
"Syrian rights group compiles list of 16,200 Assad regime affiliates accused of crimes against civilians",Syrian Network for Human Rights compiles database of thousands linked to Assad regime’s crimes against civilians,COERCE,Assad,,Q720179,,Assad,,,,1,2024-12-23 00:00:00,['www.aa.com.tr'],['https://www.aa.com.tr/en/middle-east/syrian-rights-group-compiles-list-of-16-200-assad-regime-affiliates-accused-of-crimes-against-civilians/3432311']
Germany: Magdeburg Christmas market attacker was identified as potential threat in 2015,"Mecklenburg-West Pomerania’s state authorities informed Joint Counter Terrorism Center on Feb. 6, 2015 about Saudi doctor Taleb Al-Abdulmohsen’s possible intentions to carry out an attack",THREATEN,Magdeburg,,Q1733,,Magdeburg,DEU,52.12773,11.62916,1,2024-12-23 00:00:00,['www.aa.com.tr'],['https://www.aa.com.tr/en/europe/germany-magdeburg-christmas-market-attacker-was-identified-as-potential-threat-in-2015/3432265']
War crimes and legal routes: How Assad could be brought to justice for Syria atrocities,Experts say the various ways of punishing Assad include the ICC following the Bangladesh-Myanmar model or cases in national courts under universal jurisdiction,SANCTION,Assad,,Q720179,,Assad,BGD,23.7104,90.40744,1,2024-12-23 00:00:00,['www.aa.com.tr'],['https://www.aa.com.tr/en/middle-east/war-crimes-and-legal-routes-how-assad-could-be-brought-to-justice-for-syria-atrocities/3432245']
"India, protesta studenti contro politica dei posti riservati","Students take part in a protest outside the chief minister's residence to demand rationalisation of reservation policy as per population proportion, in Srinagar, the summer capital of Indian Kashmir, 23 December 2024. (ANSA)",PROTEST,ANSA,Srinagar,,Q170115,ANSA,,,,1,2024-12-23 00:00:00,['www.ansa.it'],['https://www.ansa.it/sito/photogallery/primopiano/2024/12/23/india-protesta-studenti-contro-politica-dei-posti-riservati_74e9bf7d-20a9-4a58-bb8a-38fe1dc94a3d.html']
"Only 12 trucks delivered food, water in North Gaza Governorate since October: Oxfam","UNITED NATIONS, United States: Just 12 trucks distributed food and water in northern Gaza in two-and-a-half months, aid group Oxfam said on Sunday (Dec 22), raising the alarm over the worsening",AID,North Gaza Governorate,,Q181636,,North Gaza Governorate,PSE,31.50161,34.46672,1,2024-12-23 00:00:00,['www.channelnewsasia.com'],['https://www.channelnewsasia.com/world/north-gaza-only-12-trucks-delivered-food-water-october-oxfam-4822311']
Govt tracking cholera cases,The Ministry of Public Health has set up an emergency operations centre ( EOC ) to monitor the cholera situation following two suspected cases found at hospitals in Tak province.,MOBILIZE,Ministry of Public Health,EOC,,,EOC,THA,16.86968,99.12898,1,2024-12-23 00:00:00,['www.bangkokpost.com'],['https://www.bangkokpost.com/thailand/general/2924976/govt-tracking-cholera-cases']
Thaksin to meet Malaysia prime minister on Thursday,"SUBANG: Former prime minister Thaksin Shinawatra will meet Malaysian Prime Minister Anwar Ibrahim in Langkawi on Thursday to discuss the regional situation and developments in Asean, says a report by The Edge Malaysia.",CONSULT,Thaksin Shinawatra,Malaysian,Q164373,,Langkawi,,,,1,2024-12-23 00:00:00,['www.bangkokpost.com'],['https://www.bangkokpost.com/thailand/politics/2925041/thaksin-to-meet-malaysia-prime-minister-on-thursday']
China says US is 'playing with fire' after latest military aid for Taiwan,A Chinese Foreign Ministry statement on Sunday urged the US to stop arming Taiwan and stop what it called ‘dangerous moves that undermine peace and stability in the Taiwan Strait’,ASSAULT,Chinese,Taiwan Strait,,Q127031,US,TWN,25.04776,121.53185,1,2024-12-22 23:24:58,['www.voanews.com'],['https://www.voanews.com/a/china-says-us-is-playing-with-fire-after-latest-military-aid-for-taiwan/7910486.html']
Australian man Oscar Jenkins captured by Russian forces near Donbas,"Melbourne man Oscar Jenkins may be the first Australian captured by Russia while fighting for Ukraine, and the government is urging Russia to respect international laws.",ASSAULT,Ukraine,,Q212,,Donbas,RUS,55.75222,37.61556,1,2024-12-22 23:19:48,['www.afr.com'],['https://www.afr.com/politics/diplomatic-scramble-after-australian-captured-in-ukraine-by-russians-20241223-p5l0b8']
Houthis fire a missile at Tel Aviv; Israeli strikes kill several children in Gaza,A missile launched from Yemen struck Tel Aviv early Saturday in a rare instance of a failed interception over the city.,ASSAULT,Tel Aviv,Yemen,Q33935,Q805,Yemen,YEM,15.35472,44.20667,4,2024-12-22 23:07:10,"['news.yahoo.com', 'www.bbc.com', 'www.dw.com', 'www.aol.com']","['https://news.yahoo.com/news/houthis-fire-ballistic-missile-named-120329764.html', 'https://www.bbc.com/news/articles/c3we936v266o', 'https://www.dw.com/en/missile-fired-from-yemen-hits-israel-injures-16/a-71130149', 'https://www.aol.com/tel-aviv-hit-projectile-fired-032315800.html']"
Suspect in German Christmas market attack had history of troubling social media posts that grew increasingly dark,"The man accused of killing five people and injuring more than 200 others by ramming a car into a crowded German Christmas market had a history of making anti-Islam statements, which had grown increasingly dark and threatening towards Germany in recent months.",COERCE,German,,,,German,DEU,52.52437,13.41053,1,2024-12-22 22:54:22,['www.aol.com'],['https://www.aol.com/know-suspect-behind-german-christmas-144650970.html']
