title,_end_time,_begin,_begin_precision,uid,description,created,last_modified,location,url
Sri Lanka Local Election 2004,2004-04-24T08:00:00-04:00,2004-04-24T08:00:00-04:00,second,calendar.11724.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Sri Lanka, Asia",https://www.ndi.org/node/11724
2019 Panama Presidential Election,2019-05-06T00:00:00+00:00,2019-05-05T00:00:00+00:00,day,calendar.25300.field_ndi_elect_day_date.0@www.ndi.org,"General, Presidential",2024-07-10T13:22:59+00:00,2019-02-11T17:04:57+00:00,"Latin America & the Caribbean, Panama",https://www.ndi.org/2019-panama-presidential-election
Moldova Local Election 2011,2011-06-05T08:00:00-04:00,2011-06-05T08:00:00-04:00,second,calendar.12038.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Eurasia, Moldova",https://www.ndi.org/node/12038
Cambodia Commune Council Election 2007,2007-04-01T08:00:00-04:00,2007-04-01T08:00:00-04:00,second,calendar.12063.field_ndi_elect_day_date.0@www.ndi.org,Commune Council,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Asia, Cambodia",https://www.ndi.org/node/12063
2015 Croatia Parliamentary Election,2015-11-08T10:00:00-05:00,2015-11-08T10:00:00-05:00,second,calendar.12402.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Central and Eastern Europe, Croatia",https://www.ndi.org/node/12402
2022 Lebanon Parliamentary Elections,2022-05-16T00:00:00+00:00,2022-05-15T00:00:00+00:00,day,calendar.26389.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:23:00+00:00,2022-08-11T15:44:27+00:00,Lebanon,https://www.ndi.org/2022-lebanon-parliamentary-elections
2015 Burundi Senatorial Election,2015-07-25T00:00:00+00:00,2015-07-24T00:00:00+00:00,day,calendar.12367.field_ndi_elect_day_date.0@www.ndi.org,Senatorial,2024-07-10T13:22:59+00:00,2017-02-10T17:09:38+00:00,"Sub Saharan Africa, Burundi",https://www.ndi.org/node/12367
2015 Ukraine Mayoral Election Runoffs,2015-11-16T00:00:00+00:00,2015-11-15T00:00:00+00:00,day,calendar.12392.field_ndi_elect_day_date.0@www.ndi.org,Local Runoff,2024-07-10T13:22:59+00:00,2017-02-10T16:38:45+00:00,"Eurasia, Ukraine",https://www.ndi.org/node/12392
2021 Somalia Presidential Elections,2021-10-11T00:00:00+00:00,2021-10-10T00:00:00+00:00,day,calendar.26247.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:23:00+00:00,2021-08-24T15:35:47+00:00,Somalia,https://www.ndi.org/2021-somalia-presidential-elections
Bangladesh Parliamentary Election 2008,2008-12-29T10:00:00-05:00,2008-12-29T10:00:00-05:00,second,calendar.11911.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Asia, Bangladesh",https://www.ndi.org/node/11911
Bolivia Presidential Referendum Election 2004,2004-07-18T08:00:00-04:00,2004-07-18T08:00:00-04:00,second,calendar.12225.field_ndi_elect_day_date.0@www.ndi.org,Presidential Referendum,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Bolivia, Latin America & the Caribbean",https://www.ndi.org/node/12225
2016 Democratic Republic of the Congo Gubernatorial Elections,2016-03-26T08:00:00-04:00,2016-03-26T08:00:00-04:00,second,calendar.18456.field_ndi_elect_day_date.0@www.ndi.org,Gubernatorial,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, Democratic Republic of Congo (DRC)",https://www.ndi.org/node/18456
Russia Presidential Election 2008,2008-03-02T10:00:00-05:00,2008-03-02T10:00:00-05:00,second,calendar.11876.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Eurasia, Russia",https://www.ndi.org/node/11876
Peru Presidential (Second Round) Election 2006,2006-06-04T08:00:00-04:00,2006-06-04T08:00:00-04:00,second,calendar.12250.field_ndi_elect_day_date.0@www.ndi.org,Presidential Runoff,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Peru, Latin America & the Caribbean",https://www.ndi.org/node/12250
2021 Armenia Parliamentary Elections,2021-06-21T00:00:00+00:00,2021-06-20T00:00:00+00:00,day,calendar.26105.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:23:00+00:00,2021-04-19T17:13:31+00:00,Armenia,https://www.ndi.org/2021-armenia-parliamentary-elections
