iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
SRB,Serbia,2024-10-05,0.2,1.4,6.3,2024-10-11
SRB,Serbia,2024-10-12,0.2,1.8,7.4,2024-10-18
SRB,Serbia,2024-10-19,0.0,1.0,4.8,2024-10-25
SRB,Serbia,2024-10-26,0.0,1.1,5.0,2024-11-01
SRB,Serbia,2024-11-02,0.2,1.3,7.0,2024-11-08
SRB,Serbia,2024-11-09,0.0,1.6,6.2,2024-11-15
SRB,Serbia,2024-11-16,0.1,1.9,6.6,2024-11-22
SRB,Serbia,2024-11-23,0.0,0.5,5.2,2024-11-29
SRB,Serbia,2024-11-30,0.1,1.3,7.1,2024-12-06
SRB,Serbia,2024-12-07,0.0,1.2,5.3,2024-12-13
SRB,Serbia,2024-12-14,0.2,1.6,6.7,2024-12-20
SRB,Serbia,2024-12-21,0.5,3.0,8.9,2024-12-27
